rule,field_or_logic,baseline,tested_variants,holdout_paired_weeks,holdout_status,censored_forward_8w_labels,unverified_eps_availability_rows,decision,recommended_production_handling,candidate_future_handling,machine_reason
ACTIONABLE hard boundary,ibd_entry_status,b0_repository_skill,status_actionable_soft;status_all_signal,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Hard Eligibility,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
ibd_entry_valid,ibd_entry_valid,b0_repository_skill,ignore_entry_valid,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Context Only,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
Close > Trigger,ibd_entry_close_vs_trigger_pct,b0_repository_skill,close_trigger_soft,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Continuous/Major Score,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
Fresh Zone,current_vs_ibd_candidate_pct,b0_repository_skill,fresh_continuous,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Continuous/Major Score,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
Entry volume,ibd_entry_volume_ratio,b0_repository_skill,volume_soft;volume_signal_specific,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Continuous/Major Score,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
Breakout Geometry,pos/range_ratio/trigger_pos,b0_repository_skill,geometry_soft;geometry_drop,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Hard Eligibility for clear FAIL,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
Base context,base_depth/base_duration/base_mbox,b0_repository_skill,base_pullback_context,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Context Only,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
Pullback context,pullback_pct/pullback_duration,b0_repository_skill,base_pullback_context,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Context Only,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
pullback_v_is_dry,pullback_v_is_dry,b0_repository_skill,pullback_dry_hard;pullback_dry_minor;pullback_dry_drop,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Risk Flag / Minor Bonus candidate,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
EPS >= 25,eps_yoy_growth,b0_repository_skill,eps_pass_hard;eps_known_hard;eps_drop,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Risk Flag / Minor Bonus candidate,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
EPS UNKNOWN,eps_yoy_growth missingness,b0_repository_skill,b0_no_eps_known_gate,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Manual Review candidate,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
Industry coverage,industry,b0_repository_skill,b0_no_industry_cover,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Context/Coverage Only,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
Top1 capacity,top_n,b0_repository_skill,b0_top1_diagnostic;top1_diagnostic,0,no_complete_8w_labels,1438,12,Insufficient evidence,Keep B0 unchanged,Context Only,sealed holdout has too few complete 8w paired labels or EPS availability is unverified; no production rule can be confirmed
