snapshot_date,pool_path,pool_sha256,replay_top3_count,replay_codes,golden_codes,replay_sort_keys,replay_reasons,selection_signature_sha256,is_exact_match,discrepancy_count,discrepancy_details,reference_semantics
2025-10-10,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,55c85a28532f7f6a6d623f2b596e563bd1702c782d06a2829bfa67048a755351,0,,,,,debb81d1803b9cb54f472dab71e7b45f4627883983738e89b59acc50e7d22218,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2025-10-24,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2025-10-24/breakout_follow_pool.csv,4a2505f6ddafbe80cfc5d8514a350d4ec38e2b2d79fca27422920688eb58a5de,2,"IBM,AAPL","IBM,AAPL","(0, 0, 0, -5, 0, 1, 0, 0, -3.4439759503332747, 'IBM', 21) | (0, 2, 0, -3, 0, 0, 1, 1, -1.7323389230937476, 'AAPL', 15)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;near_52w_high,addbd0d30541e70e088085fcf304b89bdfc4d66d31b0e3cf21065953045d57b1,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2025-10-31,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2025-10-31/breakout_follow_pool.csv,fd43f834d4081f6beae6a4e199dc4b940fad4c662050d1909ad11caf55f8d594,2,"VTR,SOFI","VTR,SOFI","(0, 1, 0, -4, 1, 1, 0, 0, -2.157459398838709, 'VTR', 27) | (0, 1, 0, -3, 1, 0, 0, 0, -2.638767822182297, 'SOFI', 9)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;pullback_structure,1efc1829d08c5177e16c8c967b7912978097d1e46fa7f74cdd9e49821d41506f,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2025-11-07,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2025-11-07/breakout_follow_pool.csv,ab055576e281c6b72b5c8841d9fce0655a23123c84b8e612aead5711db0cbfa4,1,COLL,COLL,"(0, 0, 0, -5, 0, 0, 0, 0, -2.1072591018944413, 'COLL', 4)",geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,125cb2848d09441ed9ee7a5164d8195b4131af34717eb81417a87b9d4a2a041e,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2025-11-14,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2025-11-14/breakout_follow_pool.csv,98592cbbecf3c15ec489b9853b2c070781ed1a9f1a200af7b48381fa0024c544,3,"ALL,LH,LYFT","ALL,LH,LYFT","(0, 0, 0, -5, 0, 0, 0, 0, -1.8068879028430345, 'ALL', 13) | (0, 0, 0, -4, 0, 1, 0, 0, -2.182088193729191, 'LH', 3) | (0, 1, 0, -4, 0, 1, 0, 0, -2.1354427537112186, 'LYFT', 0)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;pullback_structure,dbb2d6af09dc0fbabd3b70df5467c05a135981569a1c84c6be97e3532afef7e1,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2025-11-21,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2025-11-21/breakout_follow_pool.csv,4570e5657d59a925ab8a40b4c433f9ff35b987b9db473214d0dc7ab8c6cf6e42,1,WMT,WMT,"(0, 0, 0, -5, 0, 0, 0, 0, -3.238023896478674, 'WMT', 3)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,61f0a4b40e1ccdb41cffa994c3e69f634ff07f56a3b2273fb10ceaf82ec2f238,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2025-11-28,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2025-11-28/breakout_follow_pool.csv,160244f8d263227de42a03d42d5db8a69c364de296235876a38a30883e37a2f9,3,"MNST,ROST,WFC","MNST,ROST,WFC","(0, 1, 0, -3, 1, 1, 0, 1, -1.8327218348925831, 'MNST', 24) | (0, 2, 0, -2, 1, 0, 1, 1, -1.7914428565667524, 'ROST', 29) | (0, 2, 0, -2, 1, 1, 1, 1, -1.8425351284104892, 'WFC', 27)",geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high;pullback_structure | geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;near_52w_high;pullback_structure | near_buy_point;volume_confirms_breakout;near_52w_high;pullback_structure,77301a668fb0ef95d60b486b2362f81ab4c9bcdb78e8db6232f9a813e8fc2f53,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2025-12-05,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2025-12-05/breakout_follow_pool.csv,7cae9b807936e712c979eae95c1b355064d9ea97106d86bb1594c2138adc5553,1,DASH,DASH,"(0, 0, 0, -4, 0, 1, 0, 0, -2.1449777553709577, 'DASH', 18)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,b777ebd05eba11260c5e692c0e9387c9cc86f0ec9c16c668a5345e528b0606ae,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2025-12-12,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2025-12-12/breakout_follow_pool.csv,12b4e56f02b783a0f4b3b3c9d69a1f0f7fb19cac0d15dbc041ce7d9beabb5321,0,,,,,d89743b64a268f6ad77264e2702de01abd0d796d0bbd2b7f2cf58b8050145e01,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2025-12-19,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2025-12-19/breakout_follow_pool.csv,c922236e152bbb8afc1a05a4bb02c9de129109fb8ab0e89419e56b90b3193608,3,"SCHW,PLTR,MU","SCHW,PLTR,MU","(0, 0, 0, -5, 0, 0, 0, 0, -2.6493764581893835, 'SCHW', 18) | (0, 0, 0, -3, 0, 1, 0, 1, -1.5636089595005036, 'PLTR', 13) | (0, 1, 0, -6, 0, 1, 0, 0, -2.454530422232894, 'MU', 1)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure;dry_pullback,42f449caade5deca01ee9c416fd5e78cd19d2bf6a64fb5f52892f0699db70f40,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2025-12-26,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2025-12-26/breakout_follow_pool.csv,2328fe414266f06d7cebc2a030823e239fb08dfff5115b9c3735dc028d66c8df,2,"HEI,HUT","HEI,HUT","(0, 0, 0, -4, 0, 1, 0, 1, -1.684948516215088, 'HEI', 12) | (0, 1, 0, -2, 1, 0, 0, 1, -1.659672058655187, 'HUT', 0)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high | geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;pullback_structure,e00fe40f34edb697afea0161bc784835826ed835bc6f70b32351f476d248eca2,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2026-01-02,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2026-01-02/breakout_follow_pool.csv,cc498ec726395707dd476640cfe9e364a73620468d10a2cbe56a63b6fc0a12fd,1,FTAI,FTAI,"(0, 1, 0, -4, 0, 1, 0, 1, -1.7109331147482558, 'FTAI', 0)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high;pullback_structure,6ac380471311d7e811a7a8079cb3ef9a37b3c2d5f5f15b4a0a463a8aece99be1,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
2026-01-09,/Users/tbin/Documents/Yfinance_data/backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,16e44948c92b55d0d203f32687647f678f738c6a22c7aed231723200ebe0b59e,1,GH,GH,"(0, 1, 0, -5, 0, 1, 1, 0, -1.7289082358775412, 'GH', 17)",near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high;pullback_structure;dry_pullback,6c342f1c1ac0728fe57f13dbc5c95e4af946823bf55e54e24e8c715d7f546bbc,True,0,NONE,OLD_EPS_BASELINE_EXPECTED_TO_DRIFT
